context,question,A,B,C,D,result
"Nếu người_bệnh có các cục máu đông ở nhiều lần hoặc liên_tiếp sảy thai mà không rõ nguyên_nhân , bác_sĩ có_thể chỉ_định xét_nghiệm máu để kiểm_tra sự đông máu có bất_thường hay không và tìm dấu_hiệu của tự kháng_thể với phospholipids . Để xác_nhận chẩn_đoán hội_chứng antiphospholipid , các kháng_thể phải xuất_hiện trong máu của người_bệnh ít_nhất hai lần , trong các xét_nghiệm được tiến_hành cách nhau 12 tuần trở lên . Người_bệnh có_thể có kháng_thể kháng phospholipid và không bao_giờ phát_triển bất_kỳ dấu_hiệu hoặc triệu_chứng nào . Chẩn_đoán hội_chứng antiphospholipid chỉ được thực_hiện khi các kháng_thể này gây ra vấn_đề sức_khoẻ . nan . nan . nan . nan .",Chị Hà - vợ anh Kha sau khi liên_tiếp xảy thai 2 lần nhưng bệnh_viện vẫn chưa_thể xác_định rõ nguyên_nhân . Gần đây chị Hà nhận được thông_tin của bác_sĩ điều_trị đến bệnh_viện khám 1 chuyến để xét_nghiệm máu . Anh Kha thắc_mắc khi nào bác_sĩ có_thể chỉ_định xét_nghiệm máu .,có các cục máu đông ở nhiều lần .,liên_tiếp sảy thai mà không rõ nguyên_nhân .,Sảy thai do rong_huyết .,Tất_cả đều đúng .,"A , B."
"Nguyên_nhân của bệnh cúm là do Vi_rút cúm ( Influenza virus ) , virus này liên_tục biến_thể với các chủng mới xuất_hiện thường_xuyên . Vỏ của vi_rút có bản_chất là glycoprotein gồm 2 loại kháng_nguyên là kháng_nguyên ngưng kết hồng_cầu H ( Hemaglutinin ) có 15 loại và kháng_nguyên trung_hoà N ( Neuraminidase ) có 9 loại . Khi tổ_hợp của các kháng_nguyên này sắp_xếp khác nhau tạo nên các phân týp khác nhau của vi_rút cúm A. Trong quá_trình lưu_hành , 2 kháng_nguyên H và N luôn_luôn biến_đổi , đặc_biệt là kháng_nguyên H. Những biến_đổi nhỏ liên_tục gọi là “ trôi ” kháng_nguyên ( antigenic drift ) gây nên các vụ dịch vừa và nhỏ . Khi những biến_đổi nhỏ và dần_dần tích_tụ lại thành những biến_đổi lớn , tạo nên týp kháng_nguyên mới , đó là do sự tái tổ_hợp giữa các chủng vi_rút cúm động_vật và cúm người . Những phân týp kháng_nguyên mới này sẽ gây đại_dịch cúm trên toàn_cầu . nan . nan . nan . nan .",Bệnh cúm là một căn_bệnh do vi_rút cúm ( Influenza virus ) tấn_công vào hệ hô_hấp của người_bệnh . Vỏ của virus có bản_chất là glycoprotein gồm 2 loại kháng_nguyên nào dưới đây ?,Kháng_nguyên ngưng kết hồng_cầu H.,Kháng_nguyên trung_hoà N.,IgE .,IgG .,"A , B."
"Thăm_khám lâm_sàng . Bác_sĩ sẽ hỏi bệnh và khám các dấu_hiệu lâm_sàng để có_thể định_hướng chẩn_đoán cũng như giúp loại_trừ các bệnh_lý khác có triệu_chứng tương_tự . Xét_nghiệm máu . Về hồng_cầu : có_thể có tình_trạng thiếu máu nhẹ , tỷ_lệ lắng_đọng hồng_cầu cao , chứng_tỏ bệnh_nhân bị viêm mạch_máu . Về bạch_cầu : số_lượng bạch_cầu trên mức trung_bình . Về tiểu_cầu : số_lượng tiểu_cầu tăng vọt . Xét_nghiệm nước_tiểu . Có_thể phát_hiện bạch_cầu niệu bất_thường . Đo điện_tâm_đồ . Có_thể thấy tình_trạng loạn nhịp tim , bằng_chứng của sự căng cơ tim . Điều này cho thấy sự tác_động của bệnh Kawasaki lên tim của bệnh_nhân . Siêu_âm tim . Cho_phép đánh_giá các thương_tổn về cấu_trúc và chức_năng của tim và các mạch_máu lớn . Xét_nghiệm máu Về hồng_cầu : có_thể có tình_trạng thiếu máu nhẹ , tỷ_lệ lắng_đọng hồng_cầu cao , chứng_tỏ bệnh_nhân bị viêm mạch_máu . Về bạch_cầu : số_lượng bạch_cầu trên mức trung_bình . Về tiểu_cầu : số_lượng tiểu_cầu tăng vọt . Đo điện_tâm_đồ Có_thể thấy tình_trạng loạn nhịp tim , bằng_chứng của sự căng cơ tim . Điều này cho thấy sự tác_động của bệnh Kawasaki lên tim của bệnh_nhân . Xét_nghiệm nước_tiểu Có_thể phát_hiện bạch_cầu niệu bất_thường . Siêu_âm tim Cho_phép đánh_giá các thương_tổn về cấu_trúc và chức_năng của tim và các mạch_máu lớn .","Trong quá_trình thăm_khám lâm_sàng để định_hướng chẩn_đoán bệnh Kawasaki , một căn_bệnh có_thể gây ra các biến_chứng nguy_hiểm liên_quan đến hệ tim_mạch . Để chuẩn đoán cho bệnh_nhân những phương_pháp nào được sử_dụng ?",Xét_nghiệm máu .,Đo điện_tâm_đồ .,Xét_nghiệm nước_tiểu .,Siêu_âm tim .,"A , B , C , D."
"Sau khi nhiễm sởi , thời_gian ủ_bệnh có_thể từ 7 ngày đến 2 tuần . Sau đó , triệu_chứng bệnh sởi có những biểu_hiện sau : Giai_đoạn khởi bệnh , trẻ thường sốt cao ( trên 39 °C ) khi biểu_hiện sốt thuyên_giảm sẽ đồng_thời xuất_hiện triệu_chứng phát_ban đặc_trưng của sốt . Diễn_tiến của ban sởi rất đặc_trưng : ban nổi bắt_đầu từ sau tai ( vùng gáy ) , sau đó lan ra_mặt rồi dần xuống ngực bụng và cuối_cùng là toàn_thân . Ban của sởi là ban dạng sẩn ( ban gồ lên mặt da ) sau khi hết sẽ để lại vệt thâm da đặc_trưng được gọi là “ vằn da hổ ” . Ngoài những biểu_hiện trên , trẻ mắc sởi thường có một_số triệu_chứng kèm theo như : đỏ mắt , chảy nước_mũi , ho hoặc đôi_khi là tiêu_chảy . Biến_chứng của sởi : thường gặp nhất_là viêm tai giữa , viêm phổi , viêm não , tiêu_chảy , mờ giác_mạc , viêm thanh_quản , suy_dinh_dưỡng nặng . nan . nan . nan . nan .","Bệnh_nhân Cường , một người đàn_ông 40 tuổi , đến bác_sĩ với các triệu_chứng như mệt_mỏi , đau_đầu , sổ_mũi và nổi ban nổi mẩn trên da . Anh ta được bác_sĩ chuẩn đoán mắc bệnh sởi , anh muốn hiểu rõ hơn về bệnh này sẽ gây ra những biến_chứng gì . Biến_chứng của bệnh sởi là gì ?",Viêm phổi .,Viêm tai giữa .,Viêm thanh_quản .,Suy_dinh_dưỡng nặng .,"A , B , C , D."
"Hiện_nay vẫn chưa có các biện_pháp phòng_ngừa ung_thư não đặc_hiệu . Bệnh_nhân được khuyến_cáo đi khám sức_khoẻ kiểm_tra khi có các dấu_hiệu nghi_ngờ như đau_đầu , nôn , buồn_nôn kéo_dài hoặc đột_ngột yếu liệt nửa người , nói_khó , rối_loạn thị_giác , thính_giác . Đặc_biệt các bệnh_nhân ung_thư nên được sàng_lọc ung_thư não di_căn khi có các triệu_chứng báo_hiệu . nan . nan . nan . nan .",Anh_Tuấn và chị Linh làm_việc trong môi_trường có nhiều hoá_chất và lo_lắng rằng điều này có_thể tăng nguy_cơ ung_thư não cho cả gia_đình . Họ mong_muốn có các biện_pháp phòng_tránh hoặc ít_nhất là phát_hiện kịp_thời .,Khám sức_khoẻ khi đau_đầu .,Kiểm_tra khi nói_khó .,Sàng_lọc ung_thư .,Chụp_X - Quang .,"A , B."
"Khám bụng_dưới và âm_đạo : Căn_cứ vào các dấu_hiệu và triệu_chứng khai_thác được , bác_sĩ sẽ tiến_hành khám lâm_sàng để có được chẩn_đoán sơ_bộ . Khám âm_đạo và bụng_dưới cần được tiến_hành để phát_hiện các bất_thường trên lâm_sàng . Xét_nghiệm beta-hCG : tăng lên rất cao , có_thể trên 30 . 000 đơn_vị quốc_tế . Siêu_âm : Rất có giá_trị trong việc chẩn_đoán chửa_trứng . Có_thể tiến_hành kỹ_thuật siêu_âm qua bụng hay qua âm_đạo . Trên siêu_âm cho hình_ảnh tuyết rơi trong lòng tử_cung , không thấy phôi_thai . Xét_nghiệm FT3 , FT 4 : tăng , chứng_tỏ có tình_trạng cường_giáp trên bệnh_nhân . nan . nan . Nó không phải là một bào_thai thực_sự nhưng vẫn có các triệu_chứng thai_nghén . Nó không phải là một bào_thai thực_sự nhưng vẫn có các triệu_chứng thai_nghén .",Chị Phúc đến bệnh viên để siêu_âm chẩn_đoán căn_bệnh Thai trứng . Chị cảm_thấy thắc_mắc nếu hình_ảnh thu được là gì thị xác_định được căn_bệnh của chị .,Tuyết rơi trong lòng tử_cung .,Không thấy phôi_thai .,Phôi_thai nhỏ và gần như bị khuất .,Phôi_thai to rõ .,"A , B."
"Dấu_hiệu nhận_biết rối_loạn nội_tiết dễ thấy nhất ở bệnh_nhân là tình_trạng mệt_mỏi , suy_nhược kéo_dài . Xét_nghiệm máu và nước_tiểu để kiểm_tra nồng_độ của các nội_tiết_tố trong cơ_thể . Chẩn_đoán hình_ảnh : phương_pháp này có giá_trị chẩn_đoán xác_định vị_trí một nốt hoặc khối_u . Các cận lâm_sàng khác có_thể được bổ_sung để đánh_giá kích_thước tuyến_giáp và tìm nguyên_nhân của hội_chứng cường_giáp như là : siêu_âm tuyến_giáp , siêu_âm doppler tuyến_giáp . Xét_nghiệm cần được làm là : định_lượng TSH , FT3 , FT 4 . Nếu bạn bị cường_giáp , kết_quả xét_nghiệm của bạn sẽ biểu_hiện bằng việc tăng nồng_độ FT4 , FT3 và TSH giảm . Xét_nghiệm cần được làm là : định_lượng TSH , FT3 , FT 4 . Nếu bạn bị cường_giáp , kết_quả xét_nghiệm của bạn sẽ biểu_hiện bằng việc tăng nồng_độ FT4 , FT3 và TSH giảm . Một kết_quả với nồng_độ cortisol trong máu cao có_thể được nhận_định là bệnh_nhân mắc hội_chứng Cushing . Ngược_lại , nếu nồng_độ hormone này thấp thì bệnh_lý Addison hoặc một loại bệnh làm ảnh_hưởng đến chức_năng tuyến_thượng_thận sẽ bị nghi_ngờ .","Cô Lan mấy tháng nay gặp tình_trạng sụt cân , mệt_mỏi , ra mồ_hôi nhiều , hồi_hộp đánh_trống_ngực . Cô nghi_ngờ mình có_thể bị cường_giáp nên đã đến bệnh_viện để kiểm_tra sức_khoẻ . Được biết cường_giáp là một bệnh do rối_loạn nội_tiết_tố gây ra , bệnh có_thể gây ra nhiều biến_chứng nguy_hiểm cho sức_khoẻ . Bác_sĩ cần thực_hiện các phương_pháp chẩn_đoán bệnh nào cho cô Lan ?",Siêu_âm tuyến_giáp .,Xét_nghiệm nồng_độ TSH .,"Xét_nghiệm nồng_độ FT3 , FT 4 .",Xét_nghiệm nồng_độ Corticoid .,"A , B , C."
"Khả_năng thấp người bị mắc bệnh bò điên . Bệnh không_thể lây_truyền qua ho hoặc hắt_hơi , chạm hoặc quan_hệ tình_dục . Nhưng có ba đường lây có_thể gặp như sau : Không thường_xuyên . Hầu_hết những người mắc bệnh bò điên dạng cổ_điển đều nhiễm mà không rõ cách lây_nhiễm , còn được gọi là bệnh bò điên tự_phát hoặc lẻ_tẻ , loại này chiếm phần_lớn các trường_hợp . Do di_truyền . Chưa đến 15 % những người mắc bệnh bò điên có tiền_sử gia_đình mắc bệnh hoặc xét_nghiệm dương_tính với đột_biến gen liên_quan đến bệnh bò điên . Loại này được gọi là bệnh bò điên gia_đình . Do lây_nhiễm . Một số_ít người đã bị nhiễm_bệnh bò điên sau khi tiếp_xúc với mô của người_bệnh như ghép giác_mạc hoặc cấy_ghép da . Ngoài_ra , do các phương_pháp khử_trùng không phá_huỷ được các prion bất_thường , do_đó dẫn đến một số_ít người đã bị nhiễm_bệnh bò điên sau khi trải qua phẫu_thuật não với các dụng_cụ phẫu_thuật bị nhiễm . Các trường_hợp bệnh bò điên trên được gọi là bệnh bò điên do điều_trị ( iatrogenic CJD ) . Biến_thể khác của bệnh bò điên có liên_quan đến việc ăn thịt bò bị nhiễm_bệnh bò điên như bệnh viêm_não thể bọt_biển ở bò ( tiếng Anh là bovine spongiform encephalopathy , viết tắc BSE ) . nan . nan . nan . nan .","Khả_năng thấp người bị mắc bệnh bò điên . Bệnh không_thể lây_truyền qua ho hoặc hắt_hơi , chạm hoặc quan_hệ tình_dục . Nhưng có_thể lây qua những đường khác . Tên gọi của các bệnh bò điên khi phân theo đường lây_truyền gồm có ?",Bệnh bò điên tự_phát hoặc lẻ_tẻ ( chiếm phần_lớn các trường_hợp ) .,"Bệnh bò điên gia_đình , do di_truyền .",Bệnh bò điên do điều_trị ( iatrogenic CJD ) .,Bệnh bò điên tự_phát hoặc lẻ_tẻ ( chiếm phần cực_kỳ nhỏ trong các trường_hợp ) .,"A , B , C."
"Chẩn_đoán dựa vào các triệu_chứng và xét_nghiệm : Triệu_chứng : Dát nhạt màu hoặc màu thẫm , màu hồng , kích_thước từ 4 đến 5 mm , khu_trú chủ_yếu vùng cổ , ngực , lưng và cánh_tay . Nhìn thương_tổn như không có vảy nhưng cạo sẽ có vảy . Xét_nghiệm : Tìm thấy nấm ở vảy khi soi trực_tiếp dưới kính_hiển_vi . Có nhiều sợi nấm và bào_tử vách dày được làm rõ trong dung_dịch KOH 10 . Nuôi_cấy không có giá_trị chẩn_đoán do nấm Pityrosporum ovale đòi_hỏi phải có môi_trường đặc_biệt và chúng cũng thường có_mặt ở da người bình_thường . Soi đèn Wood thấy vùng giảm sắc_tố do nhiễm nấm và huỳnh_quang màu xanh lá cây nhạt . nan . nan . nan . nan .",Lang_ben là một bệnh nhiễm nấm Pityrosporum ovale ngoài da thường gặp . Đặc_điểm nào dưới đây là đúng về triệu_chứng của lang_ben ?,"Dát nhạt màu hoặc màu thẫm , màu hồng , kích_thước từ 2 đến 3 mm , khu_trú chủ_yếu vùng lưng và cánh_tay .","Dát nhạt màu hoặc màu thẫm , màu hồng , kích_thước từ 4 đến 5 mm , khu_trú chủ_yếu vùng cổ , ngực , lưng và cánh_tay .",Nhìn thương_tổn như không có vảy nhưng cạo sẽ có vảy .,Xét_nghiệm : Tìm thấy nấm ở vảy khi soi trực_tiếp dưới kính_hiển_vi .,"B , C."
"Độ tuổi : Đàn_ông trên 40 tuổi có khả_năng sinh_sản kém hơn những người trẻ hơn . Sử_dụng thuốc_lá : Hút thuốc có_thể làm tăng nguy_cơ rối_loạn_chức_năng cương dương và số_lượng tinh_trùng ít ở nam_giới . Sử_dụng rượu : Đối_với nam_giới , việc sử_dụng rượu nặng có_thể làm giảm số_lượng và khả_năng di_chuyển của tinh_trùng . Thừa cân : số_lượng tinh_trùng của một người đàn_ông và mức_độ testosterone có_thể bị ảnh_hưởng nếu bị béo phì . Vấn_đề tập_thể_dục : thiếu hoặc không tập_thể_dục đủ góp_phần gây nên béo phì và làm tăng nguy_cơ vô_sinh . nan . nan . nan . nan .",Vô_sinh ở nam_giới là tình_trạng mất khả_năng sinh_sản ở các nam bệnh_nhân muốn có con . Nam_giới thuộc có những đặc_điểm nào dưới đây là đối_tượng nguy_cơ mắc bệnh vô_sinh ?,Trên 40 tuổi .,Thừa cân .,Không tập_thể_dục .,Chơi thể_thao thường_xuyên .,"A , B , C."
"Đối_tượng nguy_cơ dễ mắc bệnh thiếu men G6PD bao_gồm : Giới_tính nam . Chủng_tộc : người châu_Á , châu_Phi , Địa_Trung_Hải , đặc_biệt là người Mỹ gốc Phi . Tiền_sử gia_đình : có người_thân trong gia_đình mắc phải bệnh_lý này , nhất_là các thành_viên thế_hệ 1 như bố_mẹ , con_cái và anh_chị_em ruột . Khi một người có người_thân mắc bệnh thiếu men G6PD thì người này rất có_thể cũng đang mang gen bệnh . nan . nan . nan . nan .","Thiếu men G6PD được xác_định là bệnh di_truyền lặn trên nhiễm_sắc_thể X , trẻ bị bệnh này do nhận gen lặn bất_thường trên nhiễm_sắc_thể giới_tính từ bố và mẹ . Người nào dưới đây có nguy_cơ cao trong việc mắc bệnh ?",Nữ_giới .,Người Châu_Âu .,Người sống ở xứ lạnh .,Người Châu Á.,D.
"Điều_trị tình_trạng mòn răng tuỳ_thuộc vào nhiều yếu_tố , bao_gồm : nguyên_nhân gây mòn răng , loại mòn răng và mức_độ mòn răng . Nguyên_nhân gây ra mòn răng phải được giải_quyết và kết_hợp với việc điều_chỉnh các thói_quen chăm_sóc răng miệng . Thay_đổi cách chải răng nếu chải răng sai , hạn_chế sử_dụng các thực_phẩm có tính axit nếu trước_đây sử_dụng quá nhiều , chăm_sóc vệ_sinh răng miệng chăm_chỉ hơn là các biện_pháp đơn_giản nhưng hiệu_quả mà hầu_như người_bệnh nào cũng có_thể làm được . Các biện_pháp phục_hồi men răng cũng được áp_dụng phổ_biến , tuỳ theo mức_độ mất men răng , có_thể kể đến như sau : Liệu_pháp fluor : nha_sĩ sẽ quét một lớp fluoride hoặc cho bệnh_nhân đeo khay bọc răng chứa fluoride sử_dụng tại nhà . Fluoride giúp răng không bị mất thêm men , bảo_vệ răng , phòng_ngừa sâu_răng và kéo_dài thời_gian tác_dụng của các vật_liệu phục hình răng . Trám răng : là biện_pháp áp_dụng phổ_biến nhất vì giá_thành không quá cao . Vật_liệu trám răng có_thể được làm từ âmlgam hoặc composite , có màu gần giống màu răng tự_nhiên , làm đầy các lỗ_hổng , tăng_cường sức_khoẻ răng miệng . Dán mặt răng sứ : các miếng dán sứ nha_khoa được dán vào các mặt bị mòn , nứt hoặc mẻ giúp phục_hồi và ngăn_ngừa mòn men răng . Chụp mão răng : là liệu_pháp áp_dụng cho những trường_hợp mất men răng nhiều và sâu . Mão răng được làm từ nhiều chất_liệu khác nhau như sứ , niken , vàng , bao_bọc toàn_bộ răng sau khi khoan bỏ răng sâu và lớp men mỏng , giúp ngăn_ngừa sâu_răng và mất men răng tiếp_diễn . Các loại kem đánh răng có flour dùng trong các trường_hợp nhạy_cảm giúp giải_quyết các triệu_chứng khó_chịu của bệnh_nhân . nan . nan . nan . nan .","Điều_trị tình_trạng mòn răng tuỳ_thuộc vào nhiều yếu_tố , bao_gồm : nguyên_nhân gây mòn răng , loại mòn răng và mức_độ mòn răng . Các biện_pháp nào dưới đây có_thể phục_hồi men răng cũng được áp_dụng ?",Liệu_pháp fluor .,Trám răng .,Dán mặt răng sứ .,Chụp mão răng .,"A , B , C , D."
"Bạn sẽ có_thể kiểm_soát bệnh này nếu áp_dụng các biện_pháp sau : Uống nước đều_đặn . Đối_với những người có tiền_sử sỏi thận , các bác_sĩ thường khuyên bạn nên thải ra khoảng 2,6 lít ( 2,5 lít ) nước_tiểu một ngày . Nếu nước_tiểu có màu vàng nhạt , trong thì chứng_tỏ bạn đã uống đủ nước . Hạn_chế ăn các loại thực_phẩm có nhiều canxi oxalat như : sữa , phô_mai , nước chè đặc , củ_cải , đậu_bắp . Hạn_chế ăn muối và protein động_vật : giảm lượng muối_ăn và chọn nguồn protein từ thực vật ví_dụ như các loại đậu , nấm . Cẩn_thận với việc bổ_sung canxi : canxi trong thức_ăn không có ảnh_hưởng đến nguy_cơ sỏi thận , vì_vậy bạn hãy tiếp_tục ăn các loại thực_phẩm giàu canxi trừ khi bác_sĩ khuyến_cáo không nên . Bạn hãy hỏi bác_sĩ trước khi dùng thuốc_bổ sung canxi , vì chúng có_thể tăng nguy_cơ bị sỏi thận . nan . nan . nan . nan .",Một trong các biện_pháp có_thể kiểm_soát bệnh là hạn_chế ăn các loại thực_phẩm có nhiều canxi oxalat . Các thực_phẩm đó là những thực_phẩm nào dưới đây ?,Nấm .,Sữa .,Phô_mai .,Đậu_bắp .,"B , C , D."
"Bệnh u lành thực_quản không phải là bệnh truyền_nhiễm , do_đó , không có khả_năng lây_truyền từ người_bệnh sang người khoẻ_mạnh . nan . nan . nan . nan .","Sau khi kiểm_tra sức_khoẻ tại bệnh_viện gần nhà , chị Ngọc được bác_sĩ chẩn_đoán mắc bệnh u lành thực_quản . Bác_sĩ cũng cung_cấp cho chị Ngọc một_số thông_tin về đường lây_truyền của bệnh u lành thực_quản . Vậy trong các ý_kiến dưới đây , ý_kiến nào đúng khi nói về đường lây_truyền của u lành thực_quản ?",Lây_truyền qua đường từ mẹ sang con .,Lây_truyền qua đường tiếp_xúc trực_tiếp .,Không có khả_năng lây_truyền từ người_bệnh sang người khoẻ_mạnh .,Lây_truyền qua đường_quan hệ tình_dục .,C.
Tật viễn_thị là một tật phổ_biến của mắt và có_thể ảnh_hưởng đến bất_kỳ độ tuổi nào nhưng thường là ở trẻ_em . Có nhiều yếu_tố làm tăng nguy_cơ mắc phải tật viễn_thị bao_gồm : Yếu_tố di_truyền : trẻ sẽ dễ bị viễn_thị nếu có cha_mẹ bị viễn_thị . Đang mắc bệnh võng_mạc . Đang có khối_u mắt . Tật viễn_thị là một tật phổ_biến của mắt và có_thể ảnh_hưởng đến bất_kỳ độ tuổi nào nhưng thường là ở trẻ_em . Có nhiều yếu_tố làm tăng nguy_cơ mắc phải tật viễn_thị bao_gồm : Yếu_tố di_truyền : trẻ sẽ dễ bị viễn_thị nếu có cha_mẹ bị viễn_thị Đang mắc bệnh võng_mạc Đang có khối_u mắt . Tật viễn_thị là một tật phổ_biến của mắt và có_thể ảnh_hưởng đến bất_kỳ độ tuổi nào nhưng thường là ở trẻ_em . Có nhiều yếu_tố làm tăng nguy_cơ mắc phải tật viễn_thị bao_gồm : Yếu_tố di_truyền : trẻ sẽ dễ bị viễn_thị nếu có cha_mẹ bị viễn_thị Đang mắc bệnh võng_mạc Đang có khối_u mắt . Tật viễn_thị là một tật phổ_biến của mắt và có_thể ảnh_hưởng đến bất_kỳ độ tuổi nào nhưng thường là ở trẻ_em . Có nhiều yếu_tố làm tăng nguy_cơ mắc phải tật viễn_thị bao_gồm : Yếu_tố di_truyền : trẻ sẽ dễ bị viễn_thị nếu có cha_mẹ bị viễn_thị Đang mắc bệnh võng_mạc Đang có khối_u mắt . Tật viễn_thị là một tật phổ_biến của mắt và có_thể ảnh_hưởng đến bất_kỳ độ tuổi nào nhưng thường là ở trẻ_em . Có nhiều yếu_tố làm tăng nguy_cơ mắc phải tật viễn_thị bao_gồm : Yếu_tố di_truyền : trẻ sẽ dễ bị viễn_thị nếu có cha_mẹ bị viễn_thị Đang mắc bệnh võng_mạc Đang có khối_u mắt .,"Bạn Hoà 6 tuổi thời_gian gần đây khó quan_sát khi đọc bài mỗi khi để sách ở trước_mắt em thường nhìn rất khó nhưng khi để ra xa em lại đọc rất dễ_dàng . Tuy mới 6 tuổi nhưng bé đã bị mắc bệnh , những yếu_tố nào có_thể khiến bạn An mắc bệnh ?",Yếu_tố di_truyền .,Lây_lan từ người khác .,Đang mắc bệnh võng_mạc .,Đang có khối_u mắt .,"A , C , D."
"Nguyên_nhân dẫn đến vô kinh nguyên_phát : Tổn_thương buồng_trứng ở người phụ_nữ . Bất_thường trong vấn_đề tiết hormone khu_vực dưới đồi , tuyến_yên . Bất_thường của cơ_quan sinh_dục như không có tử_cung , không có buồng_trứng . Có trường_hợp tuy có buồng_trứng nhưng người phụ_nữ lại không có âm_đạo hoặc màng_trinh bịt kín âm_đạo . Một_số trường_hợp vô kinh nguyên_phát vẫn chưa phát_hiện được nguyên_nhân gây nên . Nguyên_nhân dẫn đến vô kinh thứ_phát : Suy buồng_trứng sớm ở phụ_nữ . Cơ_thể bị thiếu dinh_dưỡng hay giảm cân quá mức : cơ_thể nhẹ cân sẽ làm gián_đoạn những chức_năng nội_tiết_tố trong cơ_thể , làm dừng lại quá_trình rụng trứng . Đời_sống có nhiều buồn_phiền và trầm_cảm : căng_thẳng , stress làm tạm_thời thay_đổi chức_năng vùng dưới đồi là nơi kiểm_soát các hormone điều_chỉnh chu_kỳ kinh_nguyệt làm kinh_nguyệt và rụng trứng bị dừng lại . Sử_dụng các loại thuốc sau cũng gây vô kinh : thuốc tránh thai , thuốc chống an_thần , thuốc hoá_trị trong điều_trị ung_thư , thuốc chống trầm_cảm , thuốc điều_trị bệnh huyết_áp , thuốc chống dị_ứng . Vận_động quá_sức cơ_thể cho_phép : người phụ_nữ luyện_tập quá mức , quá nghiêm_ngặt sẽ gây nên vô kinh . Đau_ốm kéo_dài liên_tục . Tăng cân đột_ngột hoặc béo phì cũng dẫn đến vô kinh . Các vấn_đề về các tuyến tiết hormone như tuyến_giáp , tuyến_yên . U buồng_trứng . Nguyên_nhân trước_đây có phẫu_thuật tử_cung để lại sẹo . Nguyên_nhân gây vô kinh thứ_phát , bao_gồm : U buồng_trứng . Nguyên_nhân gây vô kinh thứ_phát , bao_gồm : Người có tuyến_yên , bộ_phận tiết ra hormone có vấn_đề . Nguyên_nhân gây vô kinh thứ_phát , bao_gồm : Người có tuyến_yên , bộ_phận tiết ra hormone có vấn_đề . Nguyên_nhân gây vô kinh thứ_phát , bao_gồm : Phụ_nữ đang trong thời_gian cho con bú : kinh_nguyệt chưa ổn_định , có thế tháng này có kinh nhưng 5,6 tháng sau vẫn chưa thấy_kinh xuất_hiện lại .","Theo nghiên_cứu , có 2 loại vô kinh là : vô kinh nguyên_phát và vô kinh thứ_phát . Nguyên_nhân nào trong những nguyên_nhân dưới đây dùng để phân_biệt vô kinh thứ_phát với vô kinh nguyên_phát ở nữ_giới ?",Tổn_thương buồng_trứng .,Hormone khu_vực tuyến_yên có bất_thường .,Hormone khu_vực dưới đồi có bất_thường .,Phụ_nữ đang trong thời_gian cho con bú .,D.
"Ung_thư buồng_trứng là một trong bảy ung_thư phổ_biến nhất và đây là nguyên_nhân đứng thứ 8 dẫn đến tử_vong do ung_thư ở phụ_nữ trên toàn thế_giới . Năm 2012 , tổ_chức Ung_thư toàn_cầu ( GLOBOCAN ) đã ước_tính có 239 . 000 người mắc ung_thư buồng_trứng và 152 . 000 tử_vong do bệnh này . Trung_bình toàn thế_giới , có gần 600 . 000 chỉ sống trong vòng 5 năm sau chẩn_đoán mắc ung_thư buồng_trứng , theo đà này , tổ_chức Ung_thư toàn_cầu ( GLOBOCAN ) dự_đoán đến năm 2035 , toàn thế_giới sẽ tăng 55 % ca mắc mới và 67 % số mắc ung_thư buồng_trứng sẽ tử_vong . Để hiểu được ung_thư buồng_trứng là gì , đầu_tiên , chúng_ta cần biết về hệ_thống sinh_học của người phụ_nữ gồm có 2 buồng_trứng nằm trong khung chậu với kích_thước chỉ bằng hạt thị . Buồng_trứng có 2 chức_năng chính gồm ( 1 ) sản_xuất các nội_tiết_tố của phụ_nữ là progesterone và estrogen và ( 2 ) sản_xuất và phóng_thích 1 quả trứng vào mỗi tháng . Tại buồng_trứng có khối_u ác_tính có_thể xuất_phát từ bề_mặt của buồng_trứng hay từ tế_bào mầm sản_xuất ra tế_bào trứng hoặc từ các mô xung_quanh buồng_trứng có chức_năng nâng_đỡ , thì được gọi là ung_thư buồng_trứng . Các tế_bào ung_thư phân_chia bất_thường và không bị kiểm_soát bởi cơ_thể người_bệnh . Đây là căn_bệnh nguy_hiểm nhưng các dấu_hiệu của bệnh rất mờ hồ và thường bị nhầm_lẫn với các bệnh thông_thường khác . Dẫn đến tình_trạng , phần_lớn người_bệnh ung_thư buồng_trứng đều được phát_hiện và chẩn_đoán khi bệnh_tình đã giai_đoạn cuối . nan . nan . nan . nan .","Linh , một phụ_nữ 50 tuổi , đã cảm_thấy đau bụng và khó_chịu trong vùng bụng_dưới một thời_gian dài . Sau khi thăm bác_sĩ và thực_hiện các xét_nghiệm , cô được chẩn_đoán mắc ung_thư buồng_trứng . Trong trường_hợp này , biện_pháp điều_trị nào sẽ được bác_sĩ vận_dụng ?",Phẫu_thuật .,Hoá_trị .,Xạ_trị .,Hạn_chế tiêu_thụ rượu .,"A , B , C."
